Date,Value,Quality,Size,Default,Real Yield,Yield Curve
2020-03-30,64.30000305175781,82.44999694824219,72.73999786376953,97.55999755859375,-0.25,0.47
2020-03-31,63.0,81.04000091552734,71.37999725341797,97.63400268554688,-0.17,0.47
2020-04-01,59.5,77.66000366210938,67.79000091552734,97.0999984741211,-0.29,0.39
2020-04-02,60.31999969482422,79.48999786376953,68.7300033569336,97.0250015258789,-0.4,0.4
2020-04-03,59.2599983215332,78.26000213623047,67.44999694824219,96.79000091552734,-0.46,0.39
2020-04-06,63.66999816894531,83.5,72.66999816894531,97.197998046875,-0.47,0.4
2020-04-07,64.44000244140625,83.75,73.27999877929688,97.60900115966797,-0.42,0.47
2020-04-08,67.05999755859375,86.55000305175781,76.37999725341797,98.68800354003906,-0.42,0.5
2020-04-09,68.23999786376953,87.44000244140625,78.19000244140625,99.8740005493164,-0.5,0.5
2020-04-13,67.2300033569336,86.04000091552734,76.66999816894531,100.09200286865234,-0.5,0.51
2020-04-14,68.75,88.75,78.56999969482422,100.56900024414062,-0.53,0.53
2020-04-15,66.33999633789062,86.69999694824219,76.30000305175781,100.48999786376953,-0.56,0.43
2020-04-16,66.1500015258789,86.87999725341797,76.33000183105469,100.40499877929688,-0.42,0.41
2020-04-17,68.47000122070312,89.38999938964844,79.08000183105469,100.5250015258789,-0.36,0.45
2020-04-20,66.87999725341797,87.76000213623047,77.7300033569336,99.82499694824219,-0.31,0.43
2020-04-21,64.5999984741211,85.16000366210938,75.44000244140625,99.2750015258789,-0.38,0.38
2020-04-22,65.79000091552734,87.12000274658203,76.9800033569336,99.87999725341797,-0.43,0.41
2020-04-23,66.0,87.02999877929688,77.12999725341797,100.18000030517578,-0.44,0.39
2020-04-24,66.97000122070312,88.41000366210938,78.20999908447266,100.0,-0.51,0.38
2020-04-27,68.62999725341797,89.93000030517578,80.2300033569336,99.81900024414062,-0.5,0.43
2020-04-28,69.4000015258789,89.94000244140625,80.72000122070312,100.11699676513672,-0.52,0.42
2020-04-29,72.0199966430664,92.30000305175781,82.98999786376953,100.01000213623047,-0.51,0.43
2020-04-30,69.9800033569336,90.98999786376953,81.12999725341797,100.3550033569336,-0.43,0.44
2020-05-01,67.20999908447266,88.80999755859375,78.63999938964844,99.95800018310547,-0.42,0.44
2020-05-04,67.11000061035156,89.08999633789062,78.88999938964844,100.04000091552734,-0.43,0.45
2020-05-05,67.38999938964844,89.94000244140625,79.77999877929688,100.06900024414062,-0.44,0.47
2020-05-06,66.58999633789062,89.4800033569336,79.04000091552734,99.98999786376953,-0.38,0.55
2020-05-07,67.37999725341797,90.48999786376953,80.41999816894531,100.16999816894531,-0.45,0.5
2020-05-08,69.47000122070312,92.0,82.25,100.19000244140625,-0.43,0.53
2020-05-11,68.83000183105469,92.1500015258789,81.97000122070312,99.96600341796875,-0.4,0.56
2020-05-12,67.05000305175781,90.12000274658203,80.16000366210938,100.00499725341797,-0.4,0.52
2020-05-13,64.9000015258789,88.72000122070312,77.95999908447266,99.90499877929688,-0.43,0.48
2020-05-14,66.31999969482422,89.79000091552734,78.87000274658203,99.99500274658203,-0.43,0.47
2020-05-15,66.01000213623047,90.47000122070312,79.2300033569336,99.875,-0.45,0.48
2020-05-18,69.48999786376953,93.2699966430664,82.66000366210938,100.62999725341797,-0.44,0.55
2020-05-19,68.58000183105469,92.18000030517578,81.91999816894531,100.32499694824219,-0.45,0.53
2020-05-20,70.05999755859375,93.6500015258789,83.16999816894531,100.69000244140625,-0.48,0.52
2020-05-21,69.52999877929688,93.08999633789062,82.7300033569336,100.74500274658203,-0.46,0.51
