Local Area,Source,Region,NAICS,Notice Link,Affected Occupation,Date Received,Union,Comments,Workforce Area,Affected Occupations,County,Projected Dates,Projected Date,Employees,County: Local  Name,NAICS Code,Notice URL,Company Contact,Closure or Layoff?,Company Address,Closure/Layoff,Location,NAICS/SIC,NEG,NAFTA/Trade,Industry,Congressional ,County/Counties,Trade,Company Name,SIC
,,Northern Kentucky,,WARN,,2020-08-07 00:00:00,,,,,,,2020-04-05 00:00:00,5.0,Boone,72251.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000n3UK/pGrkwz.TW4TwVggStmZ08DA7.gkV29a2hXqMxuex7_w,,Layoff,,,,,,,,,,No,Vino Volo,
,,Cumberlands,,WARN,,2020-08-07 00:00:00,,,,,,,2020-09-30 00:00:00,24.0,Pulaski,3221.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000n28b/Jn1rUm_cAXF2P3ZrPaqixkhcq2ejA4cVozic81IBDBc,,Closure,,,,,,,,,,No,WestRock Comany,
,,Kentuckiana Works,,WARN,,2020-07-30 00:00:00,,,,,,,2020-10-01 00:00:00,84.0,Jefferson County - Louisville,541618.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mqLo/dGM35dcxujzfE8SFBVDNRHw3r93dvt37ykRK1iiwFhA,,Layoff,,,,,,,,,,No,Republic Airline Inc.,
,,Northern Kentucky,,WARN,,2020-07-27 00:00:00,,,,,,,2020-08-15 00:00:00,50.0,Campbell,541613.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mlxQ/pHNoec2wBtOYexXa8EGMWgCwxvpLls6IPT..QCrNpCg,,Layoff,,,,,,,,,,No,P.L. Marketing,
,,Northern Kentucky,,WARN,,2020-07-27 00:00:00,,,,,,,2020-03-29 00:00:00,58.0,Kenton,453220.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mltJ/rCJCG4m2d6w6fm6RhPJeaJSFlfe1JCUeAu9DyNNja2I,,Layoff,,,,,,,,,,No,Paradies Lagardere Travel Retail - CVG,
,,Kentuckiana Works,,WARN,,2020-07-24 00:00:00,,,,,,,2020-09-24 00:00:00,95.0,Jefferson County - Louisville,561510.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjW4/G_5.Fi2tenUK8iONlECvyrpM3qeWoSn_lcSPHmqPLhs,,Layoff,,,,,,,,,,No,American Queen Steamboat Company,
,,EKCEP,,WARN,,2020-07-23 00:00:00,,,,,,,2020-09-20 00:00:00,194.0,Pike,213113.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjHd/LirRegwEOo6tABsdbsKLD3wZvWNuvAk8O7lo662CRW4,,Closure,,,,,,,,,,No,CAM  Mining LLC,
,,Bluegrass,,WARN,,2020-07-23 00:00:00,,,,,,,2020-09-20 00:00:00,16.0,Fayette,213113.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjHO/J4gmK3FhqJupdRaSOCMq.CU3rKIt8M2k3PeCmNPgsTk,,Closure,,,,,,,,,,TBD,Rhino Energy LLC,
,,Bluegrass,,WARN,,2020-07-23 00:00:00,,,,,,,2020-09-24 00:00:00,5.0,Fayette,213113.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjHT/LD5kPxqA490uoPjJTUYgS_DByLIc4TIotUjmADqJaU0,,Closure,,,,,,,,,,No,Rhino Group LLC,
,,Kentuckiana Works,,WARN,,2020-07-21 00:00:00,,,,,,,2020-09-27 00:00:00,146.0,Jefferson County - Louisville,541614.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mjJP/n5vRyaG0FubvsRQQIrncYB_AzcOAUOpmLvW3EbJAw0Y,,Layoff,,,,,,,,,,No,"Kenco Logistic Services, LLC",
,,Northern Kentucky,,WARN,,2020-07-16 00:00:00,,,,,,,2020-09-30 00:00:00,84.0,Boone,541800.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mbmQ/9yrMN2fZ9lM_WFND1MVmz49r2LWQW_YPfme4l9kv7vQ,,Closure,,,,,,,,,,No,Valassis,
,,Kentuckiana Works,,WARN,,2020-07-02 00:00:00,,,,,,,2020-03-20 00:00:00,85.0,Jefferson County - Louisville,722110.0,https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/t0000000mQOc/n1sZCwQd4vfgRuAJcoxekQuz3b.06sV.9AeRbOhK1PM,,Layoff,,,,,,,,,,No,White Lodging,
