Date,DEFAULT,QUALITY,MOMENTUM,BOOK_TO_PRICE,SIZE,CASH_TO_ASSETS
7/14/10,-0.0064,0.0062,0,-0.0051,-0.0012,0.0035
7/15/10,-0.0037,0.0096,-0.0052,0.0008,-0.0081,-0.0006
7/16/10,-0.0189,0.0199,-0.0109,0.0055,0.0021,-0.0022
7/19/10,-0.0016,0.0044,-0.0037,-0.0026,-0.0045,0.0021
7/20/10,0.0103,-0.0175,0.0057,-0.0018,-0.0028,-0.0088
7/21/10,-0.004,0.0037,0.0028,0.0016,0.0026,-0.0036
7/22/10,0.0243,-0.0259,0.0057,-0.0029,0.0022,-0.0001
7/23/10,0.0043,-0.015,0.0056,-0.0042,0.0067,0.003
7/26/10,0.0155,-0.0169,0.0012,-0.0043,0.0031,-0.0015
7/27/10,-0.0104,0.0121,-0.0062,0.008,0.005,-0.0047
7/28/10,-0.0017,0.0067,-0.0007,0.0034,-0.0004,-0.0101
7/29/10,0.0112,-0.0089,0.0024,0.004,0.0064,0.001
7/30/10,-0.0051,-0.0039,0.0017,-0.0025,0.0013,0.0015
8/2/10,0.0172,-0.0172,-0.0025,-0.0065,-0.0118,-0.007
8/3/10,-0.0135,0.0072,-0.0014,-0.0006,0.0017,0.0013
8/4/10,-0.0015,0.0022,0.0018,-0.0005,-0.0012,0.0123
8/5/10,-0.0012,0.0064,0.0001,0.0009,-0.0044,0.0016
8/6/10,-0.0053,0.0031,-0.0006,0.0006,-0.0005,0.0045
8/9/10,0.0065,-0.0063,0.0011,-0.0001,0.0014,-0.0002
8/10/10,-0.0146,0.0153,0.0019,0.0027,-0.0069,-0.0052
8/11/10,-0.0205,0.0203,-0.0037,0.005,-0.0012,-0.0017
8/12/10,-0.0044,0.0041,-0.0009,-1.00E-04,0.0005,-0.0042
8/13/10,0.0018,-0.0022,-0.0007,0.003,-0.0039,-0.0041
8/16/10,-0.0008,-0.0011,0.0018,-0.0025,0.0049,0.0013
8/17/10,0.0018,-0.009,0.0034,-0.0027,-0.0025,-0.0023
8/18/10,0.0027,-0.0037,0.0021,-0.0048,-0.0011,0.0064
8/19/10,-0.0138,0.0146,0.0005,0.0003,-0.0054,0.005
8/20/10,-0.0089,0.0059,0.0014,-0.0014,0.0012,0.0096
8/23/10,-0.0095,0.0118,-0.0046,-0.0033,-0.0089,-0.007
8/24/10,-0.0074,0.0076,-0.0035,0.0039,0.0038,-0.005
8/25/10,0.0023,-0.0029,0.0004,-0.0007,0.0043,0.0072
8/26/10,-0.0044,0,0.0037,-1.00E-04,0.0008,-0.0025
8/27/10,0.0123,-0.0183,0.0048,-0.0037,0.0023,0.0002
8/30/10,-0.0109,0.0071,-0.0007,0.0033,-0.0003,-0.0024
8/31/10,0.0077,-0.0078,0.0046,0.0035,0.0005,-0.008
9/2/10,0.0119,-0.0072,0.0029,-0.0071,-0.0053,0.0087
9/3/10,0.0098,-0.0088,0.0014,-0.0022,-0.0005,0.0065
9/7/10,-0.0178,0.0104,0.002,0.0013,-0.0038,-0.0009
9/8/10,0.0073,-0.0027,0.0005,-0.0027,0.0005,0.0061
9/9/10,0.0033,0.0043,-0.0067,0.0026,-0.0016,-0.0016
